timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.033,True,0.301,0.005,0.0,False,False,False
0.08,True,0.32,0.002,0.0,False,False,False
0.1,True,0.32,0.003,0.0,False,False,False
0.125,True,0.318,0.003,0.0,False,False,False
0.164,True,0.321,0.003,0.0,False,False,False
0.196,True,0.324,0.003,0.0,False,False,False
0.224,True,0.316,0.003,0.0,False,False,False
0.255,True,0.319,0.002,0.0,False,False,False
0.291,True,0.323,0.003,0.0,False,False,False
0.324,True,0.318,0.003,0.0,False,False,False
0.37,True,0.32,0.003,0.0,False,False,False
0.401,True,0.315,0.002,0.0,False,False,False
0.432,True,0.313,0.002,0.0,False,False,False
0.469,True,0.313,0.002,0.0,False,False,False
0.501,True,0.318,0.002,0.0,False,False,False
0.532,True,0.305,0.002,0.0,False,False,False
0.557,True,0.296,0.002,0.0,False,False,False
0.597,True,0.284,0.002,0.0,False,False,False
0.625,True,0.275,0.003,0.0,False,False,False
0.661,True,0.272,0.003,0.0,False,False,False
0.691,True,0.267,0.003,0.0,False,False,False
0.725,True,0.262,0.002,0.0,False,False,False
0.771,True,0.254,0.002,0.0,False,False,False
0.799,True,0.254,0.001,0.0,False,False,False
0.837,True,0.253,0.001,0.0,False,False,False
0.868,True,0.255,0.003,0.0,False,False,False
0.894,True,0.25,0.002,0.0,False,False,False
0.931,True,0.256,0.003,0.0,False,False,False
0.961,True,0.255,0.002,0.0,False,False,False
0.995,True,0.255,0.002,0.0,False,False,False
1.025,True,0.254,0.001,0.0,False,False,False
1.059,True,0.257,0.001,0.0,False,False,False
1.087,True,0.257,0.001,0.0,False,False,False
1.119,True,0.255,0.001,0.0,False,False,False
1.172,True,0.256,0.001,0.0,False,False,False
1.204,True,0.248,0.001,0.0,False,False,False
1.234,True,0.254,0.001,0.0,False,False,False
1.267,True,0.254,0.002,0.0,False,False,False
1.302,True,0.253,0.002,0.0,False,False,False
1.325,True,0.252,0.002,0.0,False,False,False
1.362,True,0.251,0.002,0.0,False,False,False
1.391,True,0.249,0.002,0.0,False,False,False
1.425,True,0.219,0.002,0.0,False,False,False
1.458,True,0.159,0.002,0.008,True,False,False
1.494,True,0.218,0.003,0.008,False,False,False
1.517,True,0.254,0.006,0.008,False,False,False
1.564,True,0.297,0.006,0.008,False,False,False
1.603,True,0.289,0.007,0.008,False,False,False
1.629,True,0.277,0.006,0.008,False,False,False
1.666,True,0.269,0.005,0.008,False,False,False
1.693,True,0.268,0.003,0.008,False,False,False
1.728,True,0.27,0.002,0.008,False,False,False
1.763,True,0.263,0.002,0.008,False,False,False
1.794,True,0.264,0.003,0.007,False,False,False
1.826,True,0.286,0.003,0.007,False,False,False
1.859,True,0.311,0.006,0.007,False,False,False
1.891,True,0.321,0.006,0.007,False,False,False
1.926,True,0.334,0.004,0.007,False,False,False
1.97,True,0.319,0.001,0.007,False,False,False
2.002,True,0.335,0.001,0.007,False,False,False
2.033,True,0.326,0.002,0.007,False,False,False
2.062,True,0.334,0.003,0.007,False,False,False
2.093,True,0.31,0.003,0.007,False,False,False
2.126,True,0.307,0.003,0.007,False,False,False
2.157,True,0.31,0.002,0.007,False,False,False
2.195,True,0.235,0.002,0.007,False,False,False
2.226,True,0.16,0.001,0.014,True,False,False
2.257,True,0.112,0.002,0.02,True,False,False
2.284,True,0.16,0.002,0.027,True,False,False
2.317,True,0.189,0.006,0.033,True,False,False
2.371,True,0.216,0.019,0.033,False,False,False
2.396,True,0.218,0.176,0.033,False,False,False
2.434,True,0.226,0.185,0.033,False,False,False
2.465,True,0.227,0.073,0.032,False,False,False
2.492,True,0.235,0.011,0.032,False,False,False
2.528,True,0.244,0.007,0.032,False,False,False
2.556,True,0.24,0.012,0.032,False,False,False
2.592,True,0.226,0.007,0.032,False,False,False
2.626,True,0.231,0.047,0.031,False,False,False
2.658,True,0.248,0.044,0.031,False,False,False
2.691,True,0.242,0.027,0.031,False,False,False
2.722,True,0.25,0.054,0.031,False,False,False
2.769,True,0.245,0.085,0.031,False,False,False
2.803,True,0.257,0.04,0.03,False,False,False
2.832,True,0.249,0.074,0.03,False,False,False
2.866,True,0.265,0.045,0.03,False,False,False
2.897,True,0.257,0.029,0.03,False,False,False
2.932,True,0.24,0.029,0.03,False,False,False
2.959,True,0.242,0.011,0.03,False,False,False
2.997,True,0.244,0.012,0.029,False,False,False
3.026,True,0.262,0.004,0.029,False,False,False
3.057,True,0.272,0.003,0.029,False,False,False
3.089,True,0.28,0.011,0.029,False,False,False
3.123,True,0.279,0.005,0.029,False,False,False
3.166,True,0.266,0.003,0.029,False,False,False
3.204,True,0.272,0.003,0.028,False,False,False
3.235,True,0.27,0.014,0.028,False,False,False
3.268,True,0.288,0.001,0.028,False,False,False
3.299,True,0.271,0.0,0.028,False,False,False
3.332,True,0.277,0.002,0.028,False,False,False
3.357,True,0.286,0.003,0.028,False,False,False
3.394,True,0.31,0.003,0.028,False,False,False
3.427,True,0.321,0.077,0.028,False,False,False
3.453,True,0.295,0.004,0.028,False,False,False
3.489,True,0.299,0.003,0.028,False,False,False
3.516,True,0.296,0.001,0.028,False,False,False
3.564,True,0.299,0.002,0.028,False,False,False
3.597,True,0.295,0.001,0.028,False,False,False
3.633,True,0.321,0.003,0.028,False,False,False
3.66,True,0.327,0.002,0.028,False,False,False
3.694,True,0.318,0.012,0.028,False,False,False
3.727,True,0.336,0.116,0.028,False,False,False
3.758,True,0.336,0.004,0.028,False,False,False
3.792,True,0.316,0.001,0.028,False,False,False
3.825,True,0.307,0.001,0.028,False,False,False
3.853,True,0.339,0.001,0.028,False,False,False
3.889,True,0.35,0.001,0.028,False,False,False
3.919,True,0.352,0.004,0.028,False,False,False
3.969,True,0.339,0.001,0.028,False,False,False
3.996,True,0.34,0.001,0.028,False,False,False
4.035,True,0.329,0.002,0.028,False,False,False
4.067,True,0.321,0.001,0.028,False,False,False
4.093,True,0.319,0.002,0.028,False,False,False
4.132,True,0.319,0.001,0.028,False,False,False
4.16,True,0.314,0.001,0.028,False,False,False
4.194,True,0.316,0.001,0.028,False,False,False
4.227,True,0.311,0.001,0.028,False,False,False
4.259,True,0.309,0.001,0.028,False,False,False
4.291,True,0.304,0.001,0.028,False,False,False
4.32,True,0.307,0.001,0.028,False,False,False
4.37,True,0.3,0.002,0.028,False,False,False
4.403,True,0.298,0.001,0.028,False,False,False
4.429,True,0.297,0.002,0.028,False,False,False
4.463,True,0.298,0.002,0.028,False,False,False
4.493,True,0.292,0.002,0.028,False,False,False
4.529,True,0.282,0.001,0.028,False,False,False
4.563,True,0.186,0.002,0.033,True,False,False
4.591,True,0.171,0.002,0.039,True,False,False
4.625,True,0.215,0.002,0.039,False,False,False
4.653,True,0.237,0.003,0.039,False,False,False
4.69,True,0.255,0.001,0.039,False,False,False
4.717,True,0.258,0.003,0.039,False,False,False
4.772,True,0.265,0.001,0.039,False,False,False
4.801,True,0.269,0.001,0.039,False,False,False
4.829,True,0.274,0.001,0.039,False,False,False
4.867,True,0.279,0.001,0.039,False,False,False
4.892,True,0.284,0.002,0.039,False,False,False
4.929,True,0.286,0.002,0.039,False,False,False
4.959,True,0.289,0.002,0.039,False,False,False
4.995,True,0.292,0.001,0.039,False,False,False
5.025,True,0.297,0.003,0.039,False,False,False
5.056,True,0.302,0.002,0.039,False,False,False
5.085,True,0.301,0.001,0.039,False,False,False
5.117,True,0.3,0.002,0.039,False,False,False
5.149,True,0.302,0.002,0.039,False,False,False
5.204,True,0.299,0.002,0.039,False,False,False
5.231,True,0.296,0.002,0.039,False,False,False
5.265,True,0.302,0.003,0.039,False,False,False
5.299,True,0.299,0.002,0.039,False,False,False
5.329,True,0.296,0.003,0.039,False,False,False
5.361,True,0.3,0.004,0.039,False,False,False
5.389,True,0.303,0.005,0.039,False,False,False
5.425,True,0.295,0.005,0.039,False,False,False
5.452,True,0.294,0.004,0.039,False,False,False
5.49,True,0.294,0.002,0.039,False,False,False
5.521,True,0.292,0.002,0.039,False,False,False
5.552,True,0.293,0.002,0.039,False,False,False
5.605,True,0.291,0.002,0.039,False,False,False
5.636,True,0.292,0.002,0.039,False,False,False
5.667,True,0.289,0.002,0.039,False,False,False
5.692,True,0.292,0.001,0.039,False,False,False
5.731,True,0.295,0.002,0.039,False,False,False
5.754,True,0.291,0.002,0.039,False,False,False
5.793,True,0.289,0.002,0.039,False,False,False
5.826,True,0.29,0.002,0.039,False,False,False
5.853,True,0.29,0.002,0.039,False,False,False
5.89,True,0.292,0.003,0.039,False,False,False
5.917,True,0.291,0.004,0.039,False,False,False
5.955,True,0.292,0.002,0.039,False,False,False
5.996,True,0.286,0.003,0.039,False,False,False
6.035,True,0.288,0.002,0.039,False,False,False
6.06,True,0.28,0.003,0.039,False,False,False
6.094,True,0.281,0.003,0.039,False,False,False
6.131,True,0.288,0.002,0.039,False,False,False
6.156,True,0.257,0.002,0.039,False,False,False
6.193,True,0.086,0.003,0.044,True,False,False
6.227,True,0.097,0.001,0.05,True,False,False
6.258,True,0.228,0.001,0.05,False,False,False
6.285,True,0.254,0.001,0.05,False,False,False
6.316,True,0.267,0.001,0.05,False,False,False
6.355,True,0.271,0.001,0.05,False,False,False
6.401,True,0.279,0.001,0.05,False,False,False
6.431,True,0.278,0.002,0.05,False,False,False
6.46,True,0.28,0.001,0.05,False,False,False
6.493,True,0.283,0.001,0.05,False,False,False
6.531,True,0.279,0.002,0.05,False,False,False
6.556,True,0.282,0.001,0.05,False,False,False
6.588,True,0.288,0.002,0.05,False,False,False
6.627,True,0.29,0.001,0.05,False,False,False
6.657,True,0.291,0.002,0.05,False,False,False
6.684,True,0.29,0.002,0.05,False,False,False
6.722,True,0.284,0.155,0.05,False,False,False
6.748,True,0.287,0.262,0.05,False,False,False
6.796,True,0.297,0.281,0.05,False,False,False
6.834,True,0.305,0.329,0.05,False,False,False
6.86,True,0.285,0.353,0.05,False,False,False
6.893,True,0.278,0.373,0.05,False,False,False
6.924,True,0.286,0.405,0.05,False,False,False
6.957,True,0.286,0.412,0.05,False,False,False
6.988,True,0.287,0.4,0.05,False,False,False
7.026,True,0.287,0.416,0.05,False,False,False
7.057,True,0.289,0.417,0.05,False,True,True
