timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.041,True,0.29,0.006,0.012,True,False,False
0.129,True,0.285,0.007,0.024,True,False,False
0.139,True,0.289,0.023,0.036,True,False,False
0.16,True,0.292,0.024,0.048,True,False,False
0.18,True,0.294,0.01,0.059,True,False,False
0.209,True,0.294,0.01,0.07,True,False,False
0.229,True,0.29,0.021,0.08,True,False,False
0.254,True,0.293,0.01,0.091,True,False,False
0.287,True,0.297,0.009,0.101,True,False,False
0.321,True,0.298,0.01,0.111,True,False,False
0.367,True,0.307,0.009,0.121,True,False,False
0.398,True,0.299,0.008,0.13,True,False,False
0.429,True,0.301,0.008,0.14,True,False,False
0.462,True,0.298,0.008,0.149,True,False,False
0.493,True,0.293,0.008,0.158,True,False,False
0.525,True,0.29,0.008,0.167,True,False,False
0.557,True,0.292,0.008,0.175,True,False,False
0.589,True,0.287,0.008,0.184,True,False,False
0.622,True,0.296,0.011,0.192,True,False,False
0.653,True,0.298,0.009,0.2,True,False,False
0.685,True,0.309,0.006,0.208,True,False,False
0.718,True,0.323,0.01,0.206,False,False,False
0.766,True,0.332,0.024,0.204,False,False,False
0.797,True,0.321,0.016,0.202,False,False,False
0.829,True,0.323,0.073,0.2,False,False,False
0.861,True,0.326,0.029,0.198,False,False,False
0.893,True,0.316,0.021,0.196,False,False,False
0.925,True,0.327,0.01,0.194,False,False,False
0.957,True,0.328,0.015,0.193,False,False,False
0.99,True,0.325,0.01,0.191,False,False,False
1.021,True,0.329,0.01,0.189,False,False,False
1.054,True,0.329,0.011,0.188,False,False,False
1.085,True,0.333,0.015,0.186,False,False,False
1.117,True,0.326,0.028,0.184,False,False,False
1.165,True,0.326,0.03,0.183,False,False,False
1.197,True,0.316,0.013,0.181,False,False,False
1.229,True,0.324,0.028,0.179,False,False,False
1.261,True,0.331,0.027,0.178,False,False,False
1.294,True,0.356,0.017,0.176,False,False,False
1.325,True,0.346,0.032,0.175,False,False,False
1.357,True,0.356,0.006,0.174,False,False,False
1.389,True,0.365,0.002,0.172,False,False,False
1.421,True,0.351,0.002,0.171,False,False,False
1.453,True,0.35,0.002,0.169,False,False,False
1.485,True,0.342,0.001,0.168,False,False,False
1.517,True,0.342,0.002,0.167,False,False,False
1.565,True,0.337,0.001,0.165,False,False,False
1.597,True,0.338,0.002,0.164,False,False,False
1.629,True,0.32,0.002,0.163,False,False,False
1.661,True,0.329,0.002,0.162,False,False,False
1.693,True,0.324,0.002,0.16,False,False,False
1.725,True,0.318,0.002,0.159,False,False,False
1.757,True,0.302,0.003,0.165,True,False,False
1.789,True,0.325,0.001,0.164,False,False,False
1.821,True,0.311,0.001,0.163,False,False,False
1.853,True,0.307,0.001,0.169,True,False,False
1.885,True,0.299,0.001,0.175,True,False,False
1.917,True,0.3,0.002,0.181,True,False,False
1.965,True,0.297,0.003,0.187,True,False,False
1.997,True,0.257,0.003,0.193,True,False,False
2.029,True,0.174,0.005,0.199,True,False,False
2.061,True,0.123,0.001,0.204,True,False,False
2.093,True,0.139,0.006,0.21,True,False,False
