timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,pitch,yaw,roll,head_drop,drowsy
2.627,True,0.227,0.442,0.239,True,False,-168.5,7.1,-5.3,False,False
2.662,True,0.233,0.443,0.244,True,False,-168.1,7.3,-5.2,False,False
2.689,True,0.235,0.442,0.248,True,False,-168.3,7.2,-5.2,False,False
2.726,True,0.236,0.44,0.253,True,False,-167.9,7.1,-5.2,False,False
2.761,True,0.235,0.439,0.258,True,False,-167.0,6.6,-5.1,False,False
2.808,True,0.239,0.441,0.263,True,False,-167.1,6.5,-5.2,False,False
2.843,True,0.24,0.44,0.267,True,False,-167.5,6.4,-5.2,False,False
2.878,True,0.249,0.439,0.272,True,False,-167.0,6.9,-5.2,False,False
2.909,True,0.261,0.438,0.27,False,False,-166.8,6.9,-5.1,False,False
2.932,True,0.277,0.438,0.268,False,False,-166.7,6.5,-5.0,False,False
2.963,True,0.284,0.439,0.267,False,False,-167.2,6.6,-4.9,False,False
3.0,True,0.293,0.437,0.265,False,False,-167.4,6.6,-4.9,False,False
3.025,True,0.296,0.438,0.263,False,False,-167.2,6.0,-4.9,False,False
3.059,True,0.295,0.437,0.262,False,False,-167.0,6.2,-4.9,False,False
3.093,True,0.294,0.439,0.26,False,False,-167.0,6.5,-4.9,False,False
3.122,True,0.296,0.439,0.259,False,False,-167.0,6.2,-4.9,False,False
3.159,True,0.292,0.439,0.257,False,False,-166.6,6.5,-4.9,False,False
3.204,True,0.289,0.437,0.256,False,False,-167.3,6.3,-4.9,False,False
3.233,True,0.27,0.438,0.254,False,False,-167.1,5.8,-4.9,False,False
3.274,True,0.261,0.438,0.253,False,False,-167.1,6.2,-4.8,False,False
3.307,True,0.26,0.439,0.251,False,False,-167.0,5.8,-4.9,False,False
3.331,True,0.246,0.439,0.256,True,False,-166.7,5.7,-4.7,False,False
3.364,True,0.223,0.439,0.26,True,False,-166.8,5.6,-4.7,False,False
3.4,True,0.168,0.441,0.264,True,False,-169.4,5.4,-4.7,False,False
3.434,True,0.069,0.444,0.268,True,False,-168.5,5.4,-4.7,False,False
3.463,True,0.109,0.444,0.272,True,False,-169.0,5.2,-4.7,False,False
3.491,True,0.188,0.442,0.278,True,False,-168.5,6.2,-4.9,False,False
3.521,True,0.205,0.441,0.283,True,False,-168.4,5.8,-4.9,False,False
3.561,True,0.216,0.442,0.289,True,False,-168.0,5.8,-4.9,False,False
3.609,True,0.227,0.44,0.294,True,False,-167.7,6.5,-4.9,False,False
3.641,True,0.231,0.441,0.3,True,False,-167.6,6.4,-4.9,False,False
3.665,True,0.233,0.441,0.306,True,False,-167.6,6.3,-4.8,False,False
3.7,True,0.234,0.442,0.311,True,False,-167.3,6.2,-4.9,False,False
3.729,True,0.238,0.441,0.317,True,False,-166.8,6.3,-4.8,False,False
3.767,True,0.235,0.441,0.322,True,False,-166.9,6.0,-4.7,False,False
3.8,True,0.245,0.441,0.328,True,False,-167.2,5.9,-4.5,False,False
3.825,True,0.256,0.441,0.333,True,False,-167.2,6.0,-4.5,False,False
3.859,True,0.264,0.441,0.333,False,False,-166.7,6.0,-4.5,False,False
3.897,True,0.262,0.44,0.333,False,False,-167.0,6.2,-4.5,False,False
3.922,True,0.265,0.44,0.333,False,False,-167.1,6.1,-4.5,False,False
3.953,True,0.27,0.439,0.333,False,False,-166.8,6.2,-4.4,False,False
4.011,True,0.272,0.44,0.333,False,False,-166.6,5.9,-4.4,False,False
4.033,True,0.271,0.439,0.333,False,False,-166.1,5.4,-4.2,False,False
4.07,True,0.27,0.44,0.333,False,False,-165.9,5.3,-4.3,False,False
4.101,True,0.268,0.44,0.333,False,False,-165.8,5.7,-4.3,False,False
4.131,True,0.268,0.441,0.333,False,False,-165.9,6.0,-4.3,False,False
4.169,True,0.272,0.442,0.333,False,False,-165.8,6.3,-4.2,False,False
4.201,True,0.271,0.443,0.333,False,False,-165.3,6.4,-4.3,False,False
4.228,True,0.27,0.445,0.333,False,False,-165.5,6.9,-4.3,False,False
4.26,True,0.266,0.443,0.333,False,False,-165.7,6.8,-4.3,False,False
4.295,True,0.257,0.444,0.339,True,False,-166.0,5.8,-4.4,False,False
4.322,True,0.251,0.444,0.344,True,False,-165.7,6.2,-4.5,False,False
4.361,True,0.249,0.442,0.35,True,False,-166.0,6.6,-4.6,False,False
4.402,True,0.247,0.444,0.356,True,False,-165.8,6.5,-4.5,False,False
4.435,True,0.249,0.443,0.361,True,False,-165.9,7.2,-4.5,False,False
4.465,True,0.247,0.444,0.367,True,False,-165.6,7.2,-4.5,False,False
4.502,True,0.248,0.445,0.372,True,False,-165.9,6.9,-4.5,False,False
4.529,True,0.245,0.447,0.378,True,False,-165.7,7.1,-4.5,False,False
4.567,True,0.242,0.45,0.383,True,False,-165.7,7.0,-4.8,False,False
4.602,True,0.244,0.449,0.389,True,False,-165.6,6.9,-4.7,False,False
4.629,True,0.245,0.45,0.394,True,False,-165.5,7.3,-4.7,False,False
4.66,True,0.245,0.45,0.4,True,False,-165.4,7.1,-4.6,False,True
4.697,True,0.246,0.449,0.406,True,False,-165.4,6.7,-4.7,False,True
4.724,True,0.248,0.45,0.411,True,False,-165.4,6.7,-4.6,False,True
4.76,True,0.242,0.449,0.417,True,False,-165.6,6.5,-4.5,False,True
4.81,True,0.24,0.451,0.422,True,False,-165.8,6.5,-4.6,False,True
4.836,True,0.244,0.451,0.428,True,False,-165.6,7.0,-4.5,False,True
4.867,True,0.244,0.449,0.433,True,False,-165.8,7.2,-4.5,False,True
4.902,True,0.243,0.449,0.439,True,False,-165.5,7.1,-4.6,False,True
4.931,True,0.243,0.448,0.444,True,False,-165.6,7.1,-4.5,False,True
4.969,True,0.242,0.45,0.45,True,False,-165.4,7.5,-4.6,False,True
5.005,True,0.243,0.45,0.456,True,False,-165.6,7.3,-4.5,False,True
5.035,True,0.245,0.45,0.461,True,False,-165.6,7.2,-4.6,False,True
5.067,True,0.242,0.451,0.467,True,False,-165.7,7.5,-4.6,False,True
5.094,True,0.244,0.45,0.472,True,False,-165.6,7.7,-4.6,False,True
5.121,True,0.237,0.449,0.478,True,False,-165.6,7.9,-4.6,False,True
5.161,True,0.262,0.449,0.478,False,False,-165.3,8.0,-4.8,False,True
5.208,True,0.272,0.451,0.478,False,False,-165.0,7.9,-4.8,False,True
5.241,True,0.266,0.45,0.478,False,False,-165.4,7.9,-4.8,False,True
5.271,True,0.272,0.45,0.478,False,False,-165.2,7.7,-4.7,False,True
5.301,True,0.266,0.451,0.478,False,False,-165.0,8.1,-4.6,False,True
5.335,True,0.268,0.45,0.478,False,False,-165.3,8.2,-4.7,False,True
5.371,True,0.27,0.451,0.478,False,False,-164.9,7.8,-4.7,False,True
5.401,True,0.267,0.449,0.478,False,False,-165.3,7.4,-4.7,False,True
5.431,True,0.271,0.449,0.478,False,False,-165.0,7.6,-4.7,False,True
5.471,True,0.269,0.45,0.478,False,False,-165.2,7.3,-4.7,False,True
5.494,True,0.271,0.45,0.478,False,False,-165.0,7.1,-4.7,False,True
5.521,True,0.265,0.449,0.478,False,False,-165.1,7.2,-4.7,False,True
5.561,True,0.257,0.449,0.483,True,False,-164.9,6.9,-4.7,False,True
5.612,True,0.255,0.45,0.489,True,False,-164.9,7.6,-4.6,False,True
5.641,True,0.256,0.45,0.494,True,False,-164.4,7.7,-4.7,False,True
5.671,True,0.26,0.45,0.494,False,False,-164.4,7.9,-4.7,False,True
5.701,True,0.261,0.448,0.494,False,False,-164.5,7.8,-4.7,False,True
5.733,True,0.263,0.45,0.494,False,False,-164.6,7.7,-4.7,False,True
5.771,True,0.271,0.449,0.494,False,False,-164.7,7.9,-4.8,False,True
