timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.345,True,0.208,0.16,1.0,True,False,True
0.386,True,0.2,0.14,1.0,True,False,True
0.399,True,0.224,0.004,0.667,False,False,True
0.419,True,0.22,0.003,0.5,False,False,True
0.451,True,0.213,0.004,0.4,False,False,True
0.486,True,0.211,0.004,0.333,False,False,False
0.53,True,0.214,0.029,0.286,False,False,False
0.563,True,0.213,0.008,0.25,False,False,False
0.599,True,0.201,0.027,0.333,True,False,False
0.627,True,0.192,0.019,0.4,True,False,True
0.659,True,0.184,0.006,0.455,True,False,True
0.692,True,0.195,0.007,0.5,True,False,True
0.723,True,0.196,0.004,0.538,True,False,True
0.755,True,0.192,0.006,0.571,True,False,True
0.787,True,0.205,0.004,0.6,True,False,True
0.819,True,0.221,0.015,0.562,False,False,True
0.851,True,0.216,0.066,0.529,False,False,True
0.883,True,0.218,0.173,0.5,False,False,True
0.93,True,0.175,0.184,0.526,True,False,True
0.962,True,0.157,0.172,0.55,True,False,True
0.995,True,0.203,0.182,0.571,True,False,True
1.027,True,0.189,0.171,0.591,True,False,True
1.059,True,0.188,0.152,0.609,True,False,True
1.091,True,0.206,0.178,0.625,True,False,True
1.123,True,0.194,0.187,0.64,True,False,True
1.155,True,0.193,0.161,0.654,True,False,True
1.186,True,0.177,0.147,0.667,True,False,True
1.219,True,0.189,0.118,0.679,True,False,True
1.251,True,0.194,0.094,0.69,True,False,True
1.284,True,0.184,0.104,0.7,True,False,True
1.332,True,0.2,0.008,0.71,True,False,True
1.363,True,0.196,0.007,0.719,True,False,True
1.395,True,0.197,0.005,0.727,True,False,True
1.426,True,0.209,0.003,0.735,True,False,True
1.459,True,0.214,0.003,0.714,False,False,True
1.491,True,0.224,0.003,0.694,False,False,True
1.523,True,0.2,0.004,0.703,True,False,True
1.555,True,0.208,0.003,0.711,True,False,True
1.587,True,0.216,0.002,0.692,False,False,True
1.619,True,0.22,0.002,0.675,False,False,True
1.651,True,0.223,0.001,0.659,False,False,True
1.683,True,0.225,0.001,0.643,False,False,True
1.731,True,0.229,0.002,0.628,False,False,True
1.763,True,0.237,0.002,0.614,False,False,True
1.795,True,0.228,0.001,0.6,False,False,True
1.827,True,0.229,0.001,0.587,False,False,True
1.858,True,0.244,0.001,0.574,False,False,True
1.891,True,0.244,0.001,0.562,False,False,True
1.923,True,0.25,0.003,0.551,False,False,True
1.954,True,0.264,0.004,0.54,False,False,True
1.987,True,0.257,0.047,0.529,False,False,True
2.019,True,0.25,0.033,0.519,False,False,True
2.05,True,0.28,0.006,0.509,False,False,True
2.083,True,0.268,0.004,0.5,False,False,True
2.131,True,0.294,0.02,0.491,False,False,True
2.163,True,0.278,0.133,0.482,False,False,True
2.195,True,0.257,0.147,0.474,False,False,True
2.227,True,0.247,0.146,0.466,False,False,True
2.259,True,0.246,0.092,0.458,False,False,True
2.29,True,0.24,0.03,0.45,False,False,True
2.324,True,0.235,0.008,0.443,False,False,True
2.355,True,0.233,0.018,0.435,False,False,True
2.387,True,0.239,0.027,0.429,False,False,True
2.419,True,0.24,0.019,0.422,False,False,True
2.451,True,0.241,0.007,0.415,False,False,True
2.483,True,0.252,0.004,0.409,False,False,True
2.531,True,0.244,0.005,0.403,False,False,True
2.563,True,0.254,0.005,0.397,False,False,False
2.595,True,0.257,0.017,0.391,False,False,False
2.627,True,0.255,0.001,0.386,False,False,False
2.659,True,0.264,0.001,0.38,False,False,False
2.691,True,0.261,0.005,0.375,False,False,False
2.723,True,0.255,0.005,0.37,False,False,False
2.754,True,0.252,0.003,0.365,False,False,False
2.787,True,0.246,0.003,0.36,False,False,False
2.819,True,0.243,0.002,0.355,False,False,False
2.85,True,0.253,0.002,0.351,False,False,False
2.883,True,0.263,0.001,0.346,False,False,False
2.931,True,0.255,0.003,0.342,False,False,False
2.963,True,0.256,0.002,0.338,False,False,False
2.995,True,0.252,0.002,0.333,False,False,False
3.027,True,0.249,0.001,0.329,False,False,False
3.059,True,0.246,0.001,0.325,False,False,False
3.091,True,0.246,0.002,0.321,False,False,False
3.123,True,0.246,0.001,0.318,False,False,False
3.154,True,0.248,0.002,0.314,False,False,False
3.187,True,0.252,0.001,0.31,False,False,False
3.219,True,0.25,0.001,0.307,False,False,False
3.251,True,0.256,0.001,0.303,False,False,False
3.283,True,0.25,0.001,0.3,False,False,False
3.331,True,0.25,0.001,0.297,False,False,False
3.363,True,0.246,0.0,0.293,False,False,False
3.395,True,0.254,0.001,0.29,False,False,False
3.427,True,0.252,0.001,0.287,False,False,False
3.459,True,0.25,0.001,0.284,False,False,False
3.491,True,0.254,0.001,0.281,False,False,False
3.523,True,0.252,0.001,0.278,False,False,False
3.555,True,0.253,0.001,0.276,False,False,False
3.586,True,0.253,0.001,0.273,False,False,False
3.619,True,0.261,0.001,0.27,False,False,False
3.651,True,0.261,0.001,0.267,False,False,False
3.683,True,0.26,0.001,0.265,False,False,False
3.731,True,0.261,0.001,0.262,False,False,False
3.763,True,0.261,0.001,0.26,False,False,False
3.795,True,0.257,0.002,0.257,False,False,False
3.826,True,0.252,0.001,0.255,False,False,False
3.859,True,0.25,0.003,0.252,False,False,False
3.891,True,0.252,0.001,0.25,False,False,False
3.923,True,0.255,0.009,0.248,False,False,False
3.955,True,0.253,0.002,0.245,False,False,False
3.987,True,0.254,0.002,0.243,False,False,False
4.019,True,0.256,0.001,0.241,False,False,False
4.051,True,0.257,0.001,0.239,False,False,False
4.083,True,0.257,0.001,0.237,False,False,False
4.131,True,0.256,0.001,0.235,False,False,False
4.163,True,0.254,0.001,0.233,False,False,False
4.195,True,0.243,0.001,0.231,False,False,False
4.226,True,0.242,0.001,0.229,False,False,False
4.259,True,0.24,0.001,0.227,False,False,False
4.291,True,0.235,0.001,0.225,False,False,False
4.322,True,0.232,0.001,0.223,False,False,False
4.355,True,0.234,0.001,0.221,False,False,False
4.387,True,0.238,0.002,0.22,False,False,False
4.419,True,0.239,0.001,0.218,False,False,False
4.451,True,0.241,0.001,0.216,False,False,False
4.483,True,0.242,0.001,0.214,False,False,False
4.531,True,0.244,0.0,0.213,False,False,False
4.563,True,0.239,0.001,0.211,False,False,False
4.594,True,0.236,0.001,0.209,False,False,False
4.627,True,0.236,0.001,0.208,False,False,False
4.659,True,0.235,0.001,0.206,False,False,False
4.691,True,0.24,0.001,0.205,False,False,False
4.723,True,0.241,0.0,0.203,False,False,False
4.755,True,0.241,0.0,0.201,False,False,False
4.787,True,0.237,0.0,0.2,False,False,False
4.819,True,0.242,0.0,0.199,False,False,False
4.85,True,0.242,0.001,0.197,False,False,False
4.883,True,0.244,0.001,0.196,False,False,False
4.931,True,0.249,0.001,0.194,False,False,False
4.965,True,0.243,0.002,0.193,False,False,False
4.994,True,0.241,0.002,0.191,False,False,False
5.026,True,0.237,0.001,0.19,False,False,False
5.058,True,0.241,0.002,0.189,False,False,False
5.091,True,0.257,0.063,0.188,False,False,False
5.124,True,0.256,0.003,0.186,False,False,False
5.155,True,0.261,0.002,0.185,False,False,False
5.187,True,0.278,0.004,0.184,False,False,False
5.219,True,0.272,0.005,0.182,False,False,False
5.251,True,0.273,0.123,0.181,False,False,False
5.283,True,0.29,0.134,0.18,False,False,False
5.33,True,0.291,0.082,0.179,False,False,False
5.363,True,0.303,0.035,0.178,False,False,False
5.395,True,0.307,0.064,0.176,False,False,False
5.426,True,0.311,0.029,0.175,False,False,False
5.459,True,0.313,0.054,0.174,False,False,False
5.491,True,0.31,0.152,0.173,False,False,False
5.523,True,0.303,0.173,0.172,False,False,False
5.554,True,0.296,0.204,0.171,False,False,False
5.587,True,0.284,0.237,0.17,False,False,False
5.619,True,0.278,0.286,0.169,False,False,False
5.651,True,0.262,0.274,0.168,False,False,False
5.683,True,0.248,0.237,0.167,False,False,False
5.731,True,0.245,0.209,0.166,False,False,False
5.762,True,0.244,0.182,0.165,False,False,False
5.794,True,0.25,0.176,0.164,False,False,False
5.827,True,0.25,0.157,0.163,False,False,False
5.859,True,0.249,0.144,0.162,False,False,False
5.89,True,0.253,0.075,0.161,False,False,False
5.923,True,0.249,0.004,0.16,False,False,False
5.954,True,0.253,0.007,0.159,False,False,False
5.986,True,0.269,0.015,0.158,False,False,False
6.019,True,0.276,0.108,0.157,False,False,False
6.051,True,0.261,0.127,0.156,False,False,False
6.083,True,0.262,0.137,0.155,False,False,False
6.131,True,0.262,0.151,0.154,False,False,False
6.162,True,0.262,0.151,0.153,False,False,False
6.195,True,0.264,0.144,0.153,False,False,False
6.227,True,0.254,0.126,0.152,False,False,False
6.259,True,0.24,0.12,0.151,False,False,False
6.291,True,0.248,0.148,0.15,False,False,False
6.323,True,0.242,0.176,0.149,False,False,False
6.354,True,0.241,0.208,0.144,False,False,False
6.387,True,0.237,0.213,0.138,False,False,False
6.418,True,0.235,0.217,0.138,False,False,False
6.451,True,0.232,0.195,0.138,False,False,False
6.483,True,0.23,0.199,0.138,False,False,False
6.53,True,0.239,0.189,0.138,False,False,False
6.563,True,0.234,0.177,0.139,False,False,False
6.594,True,0.239,0.131,0.138,False,False,False
6.627,True,0.238,0.062,0.133,False,False,False
6.659,True,0.243,0.081,0.127,False,False,False
6.691,True,0.24,0.059,0.122,False,False,False
6.723,True,0.241,0.003,0.116,False,False,False
6.755,True,0.243,0.005,0.11,False,False,False
6.787,True,0.245,0.003,0.1,False,False,False
6.819,True,0.243,0.049,0.099,False,False,False
6.851,True,0.244,0.132,0.099,False,False,False
6.883,True,0.234,0.149,0.1,False,False,False
6.931,True,0.241,0.161,0.094,False,False,False
6.963,True,0.239,0.147,0.089,False,False,False
6.995,True,0.236,0.145,0.083,False,False,False
7.027,True,0.234,0.135,0.078,False,False,False
7.058,True,0.234,0.127,0.077,False,False,False
7.091,True,0.237,0.042,0.072,False,False,False
7.123,True,0.236,0.038,0.066,False,False,False
7.155,True,0.229,0.02,0.056,False,False,False
7.187,True,0.234,0.008,0.05,False,False,False
7.219,True,0.231,0.001,0.05,False,False,False
7.251,True,0.231,0.002,0.044,False,False,False
7.282,True,0.237,0.003,0.039,False,False,False
7.331,True,0.23,0.01,0.033,False,False,False
7.363,True,0.236,0.063,0.022,False,False,False
7.395,True,0.239,0.129,0.017,False,False,False
7.427,True,0.245,0.158,0.011,False,False,False
7.46,True,0.242,0.195,0.011,False,False,False
7.491,True,0.245,0.171,0.011,False,False,False
7.522,True,0.245,0.14,0.011,False,False,False
7.555,True,0.242,0.005,0.006,False,False,False
7.587,True,0.242,0.037,0.0,False,False,False
7.619,True,0.245,0.023,0.0,False,False,False
7.651,True,0.244,0.027,0.0,False,False,False
7.683,True,0.246,0.026,0.0,False,False,False
7.731,True,0.24,0.004,0.0,False,False,False
7.763,True,0.251,0.004,0.0,False,False,False
7.795,True,0.253,0.002,0.0,False,False,False
7.827,True,0.256,0.003,0.0,False,False,False
7.859,True,0.256,0.003,0.0,False,False,False
7.89,True,0.261,0.003,0.0,False,False,False
7.923,True,0.264,0.003,0.0,False,False,False
7.954,True,0.255,0.003,0.0,False,False,False
7.987,True,0.259,0.002,0.0,False,False,False
8.018,True,0.266,0.002,0.0,False,False,False
8.05,True,0.261,0.002,0.0,False,False,False
8.082,True,0.263,0.002,0.0,False,False,False
8.114,True,0.26,0.002,0.0,False,False,False
8.163,True,0.263,0.002,0.0,False,False,False
8.195,True,0.266,0.003,0.0,False,False,False
8.227,True,0.271,0.003,0.0,False,False,False
8.259,True,0.218,0.004,0.0,False,False,False
8.291,True,0.089,0.097,0.006,True,False,False
8.323,True,0.067,0.158,0.011,True,False,False
8.355,True,0.103,0.183,0.017,True,False,False
8.387,True,0.169,0.273,0.022,True,False,False
8.419,True,0.198,0.278,0.028,True,False,False
8.451,True,0.212,0.335,0.028,False,False,False
8.483,True,0.222,0.34,0.028,False,False,False
8.515,True,0.226,0.36,0.028,False,False,False
8.563,True,0.232,0.38,0.028,False,False,False
8.595,True,0.228,0.426,0.028,False,False,False
8.627,True,0.231,0.456,0.028,False,False,False
8.659,True,0.221,0.453,0.028,False,False,False
8.691,True,0.222,0.479,0.028,False,False,False
8.723,True,0.221,0.496,0.028,False,False,False
8.755,True,0.214,0.512,0.028,False,False,False
8.787,True,0.216,0.502,0.028,False,False,False
8.82,True,0.22,0.521,0.028,False,False,False
8.851,True,0.221,0.533,0.028,False,False,False
8.883,True,0.219,0.555,0.028,False,False,False
8.916,True,0.219,0.563,0.028,False,False,False
8.963,True,0.218,0.564,0.028,False,False,False
8.995,True,0.222,0.55,0.028,False,False,False
9.027,True,0.218,0.549,0.028,False,False,False
9.059,True,0.218,0.539,0.028,False,False,False
9.09,True,0.217,0.545,0.028,False,False,False
9.123,True,0.216,0.549,0.028,False,False,False
9.155,True,0.21,0.559,0.028,False,False,False
9.187,True,0.217,0.558,0.028,False,False,False
9.219,True,0.216,0.56,0.028,False,False,False
9.25,True,0.211,0.546,0.028,False,False,False
9.283,True,0.214,0.536,0.028,False,False,False
9.315,True,0.215,0.506,0.028,False,False,False
9.363,True,0.219,0.483,0.028,False,False,False
9.395,True,0.215,0.503,0.028,False,False,False
9.427,True,0.214,0.503,0.028,False,False,False
9.459,True,0.221,0.48,0.028,False,False,False
9.49,True,0.225,0.506,0.028,False,False,False
9.523,True,0.225,0.507,0.028,False,False,False
