timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.041,True,0.243,0.003,0.074,False,False,False
0.085,True,0.252,0.002,0.073,False,False,False
0.101,True,0.252,0.002,0.072,False,False,False
0.133,True,0.253,0.002,0.071,False,False,False
0.171,True,0.254,0.002,0.071,False,False,False
0.199,True,0.251,0.002,0.07,False,False,False
0.229,True,0.253,0.003,0.069,False,False,False
0.261,True,0.254,0.002,0.068,False,False,False
0.293,True,0.256,0.003,0.067,False,False,False
0.323,True,0.258,0.002,0.067,False,False,False
0.373,True,0.259,0.003,0.066,False,False,False
0.408,True,0.262,0.002,0.065,False,False,False
0.437,True,0.261,0.001,0.065,False,False,False
0.472,True,0.263,0.002,0.064,False,False,False
0.501,True,0.265,0.001,0.063,False,False,False
0.533,True,0.27,0.002,0.062,False,False,False
0.572,True,0.272,0.002,0.062,False,False,False
0.597,True,0.277,0.003,0.061,False,False,False
0.63,True,0.282,0.003,0.061,False,False,False
0.659,True,0.282,0.003,0.06,False,False,False
0.703,True,0.287,0.002,0.059,False,False,False
0.734,True,0.28,0.002,0.059,False,False,False
0.777,True,0.284,0.003,0.058,False,False,False
0.811,True,0.29,0.003,0.058,False,False,False
0.842,True,0.287,0.004,0.057,False,False,False
0.872,True,0.285,0.005,0.057,False,False,False
0.906,True,0.271,0.003,0.056,False,False,False
0.939,True,0.274,0.004,0.056,False,False,False
0.972,True,0.27,0.004,0.055,False,False,False
0.998,True,0.272,0.002,0.055,False,False,False
1.034,True,0.279,0.003,0.054,False,False,False
1.057,True,0.283,0.001,0.054,False,False,False
1.094,True,0.283,0.001,0.053,False,False,False
1.123,True,0.289,0.002,0.053,False,False,False
1.172,True,0.283,0.002,0.052,False,False,False
1.205,True,0.292,0.002,0.052,False,False,False
1.235,True,0.276,0.003,0.051,False,False,False
1.272,True,0.291,0.004,0.051,False,False,False
1.302,True,0.279,0.003,0.05,False,False,False
1.339,True,0.282,0.003,0.05,False,False,False
1.364,True,0.274,0.001,0.05,False,False,False
1.397,True,0.29,0.003,0.049,False,False,False
1.429,True,0.278,0.003,0.049,False,False,False
1.461,True,0.269,0.003,0.048,False,False,False
1.494,True,0.264,0.003,0.048,False,False,False
1.526,True,0.281,0.002,0.048,False,False,False
