timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.039,True,0.242,0.45,0.085,False,False,False
0.107,True,0.252,0.451,0.084,False,False,False
0.125,True,0.248,0.451,0.083,False,False,False
0.139,True,0.245,0.451,0.082,False,False,False
0.168,True,0.246,0.45,0.081,False,False,False
0.197,True,0.246,0.451,0.08,False,False,False
0.227,True,0.255,0.451,0.08,False,False,False
0.259,True,0.258,0.453,0.079,False,False,False
0.29,True,0.255,0.453,0.078,False,False,False
0.352,True,0.257,0.453,0.077,False,False,False
0.376,True,0.248,0.452,0.076,False,False,False
0.405,True,0.246,0.451,0.075,False,False,False
0.436,True,0.259,0.451,0.074,False,False,False
0.474,True,0.261,0.451,0.074,False,False,False
0.502,True,0.269,0.453,0.073,False,False,False
0.531,True,0.267,0.452,0.072,False,False,False
0.565,True,0.278,0.454,0.071,False,False,False
0.593,True,0.273,0.452,0.071,False,False,False
0.629,True,0.272,0.451,0.07,False,False,False
0.659,True,0.276,0.453,0.069,False,False,False
0.692,True,0.276,0.454,0.069,False,False,False
0.737,True,0.274,0.452,0.068,False,False,False
0.771,True,0.273,0.454,0.067,False,False,False
0.803,True,0.277,0.453,0.067,False,False,False
0.838,True,0.281,0.453,0.066,False,False,False
0.874,True,0.287,0.453,0.065,False,False,False
0.9,True,0.292,0.451,0.065,False,False,False
0.932,True,0.295,0.449,0.064,False,False,False
0.963,True,0.295,0.453,0.064,False,False,False
0.995,True,0.296,0.453,0.063,False,False,False
1.024,True,0.281,0.458,0.062,False,False,False
1.059,True,0.287,0.458,0.062,False,False,False
1.092,True,0.291,0.455,0.061,False,False,False
1.139,True,0.289,0.456,0.061,False,False,False
1.171,True,0.279,0.458,0.06,False,False,False
1.209,True,0.303,0.451,0.06,False,False,False
1.233,True,0.298,0.449,0.059,False,False,False
1.264,True,0.308,0.448,0.059,False,False,False
1.297,True,0.298,0.451,0.058,False,False,False
1.329,True,0.304,0.451,0.058,False,False,False
1.361,True,0.294,0.455,0.057,False,False,False
1.393,True,0.287,0.453,0.057,False,False,False
1.431,True,0.297,0.452,0.056,False,False,False
1.461,True,0.284,0.452,0.056,False,False,False
1.491,True,0.291,0.45,0.056,False,False,False
1.539,True,0.295,0.448,0.055,False,False,False
1.571,True,0.305,0.448,0.055,False,False,False
1.601,True,0.295,0.451,0.054,False,False,False
1.633,True,0.286,0.451,0.054,False,False,False
1.667,True,0.29,0.45,0.053,False,False,False
1.699,True,0.295,0.451,0.053,False,False,False
1.729,True,0.286,0.452,0.053,False,False,False
1.761,True,0.28,0.45,0.052,False,False,False
1.795,True,0.217,0.451,0.052,False,False,False
1.832,True,0.122,0.452,0.059,True,False,False
1.857,True,0.095,0.449,0.066,True,False,False
1.893,True,0.185,0.45,0.065,False,False,False
1.937,True,0.205,0.45,0.065,False,False,False
1.97,True,0.212,0.45,0.064,False,False,False
2.003,True,0.217,0.448,0.064,False,False,False
2.035,True,0.225,0.449,0.063,False,False,False
2.065,True,0.229,0.45,0.063,False,False,False
2.097,True,0.238,0.449,0.062,False,False,False
2.133,True,0.246,0.448,0.062,False,False,False
2.163,True,0.242,0.449,0.062,False,False,False
2.195,True,0.248,0.449,0.061,False,False,False
2.225,True,0.254,0.449,0.061,False,False,False
2.257,True,0.255,0.446,0.06,False,False,False
2.289,True,0.252,0.448,0.06,False,False,False
2.334,True,0.253,0.448,0.06,False,False,False
2.371,True,0.254,0.448,0.059,False,False,False
2.4,True,0.264,0.447,0.059,False,False,False
2.433,True,0.256,0.45,0.058,False,False,False
2.465,True,0.255,0.448,0.058,False,False,False
2.499,True,0.257,0.448,0.058,False,False,False
2.529,True,0.266,0.448,0.057,False,False,False
2.562,True,0.253,0.447,0.057,False,False,False
2.593,True,0.253,0.45,0.057,False,False,False
2.624,True,0.255,0.449,0.056,False,False,False
2.659,True,0.254,0.449,0.056,False,False,False
2.691,True,0.25,0.449,0.056,False,False,False
2.739,True,0.25,0.45,0.055,False,False,False
2.77,True,0.255,0.449,0.055,False,False,False
2.801,True,0.253,0.448,0.055,False,False,False
2.833,True,0.256,0.447,0.054,False,False,False
2.867,True,0.253,0.447,0.054,False,False,False
2.898,True,0.26,0.449,0.054,False,False,False
2.929,True,0.252,0.448,0.053,False,False,False
2.963,True,0.254,0.449,0.053,False,False,False
2.991,True,0.258,0.449,0.053,False,False,False
3.025,True,0.258,0.449,0.052,False,False,False
3.059,True,0.256,0.45,0.052,False,False,False
3.089,True,0.256,0.452,0.052,False,False,False
3.137,True,0.253,0.45,0.051,False,False,False
3.169,True,0.259,0.45,0.051,False,False,False
3.198,True,0.254,0.452,0.051,False,False,False
3.233,True,0.257,0.45,0.051,False,False,False
3.265,True,0.261,0.449,0.05,False,False,False
3.297,True,0.261,0.451,0.05,False,False,False
3.329,True,0.256,0.448,0.05,False,False,False
