timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.037,True,0.241,0.451,0.062,False,False,False
0.081,True,0.26,0.45,0.061,False,False,False
0.105,True,0.259,0.452,0.06,False,False,False
0.136,True,0.257,0.45,0.06,False,False,False
0.161,True,0.268,0.45,0.059,False,False,False
0.197,True,0.255,0.454,0.058,False,False,False
0.227,True,0.256,0.451,0.057,False,False,False
0.261,True,0.266,0.452,0.057,False,False,False
0.289,True,0.266,0.451,0.056,False,False,False
0.323,True,0.25,0.452,0.056,False,False,False
0.375,True,0.261,0.452,0.055,False,False,False
0.407,True,0.263,0.45,0.054,False,False,False
0.436,True,0.261,0.45,0.054,False,False,False
0.471,True,0.256,0.449,0.053,False,False,False
0.499,True,0.254,0.451,0.053,False,False,False
0.536,True,0.258,0.452,0.052,False,False,False
0.568,True,0.271,0.452,0.052,False,False,False
0.601,True,0.273,0.452,0.051,False,False,False
0.632,True,0.277,0.451,0.051,False,False,False
0.664,True,0.272,0.453,0.05,False,False,False
0.697,True,0.276,0.451,0.05,False,False,False
0.726,True,0.281,0.448,0.049,False,False,False
0.776,True,0.284,0.453,0.049,False,False,False
0.808,True,0.278,0.452,0.048,False,False,False
0.838,True,0.289,0.453,0.048,False,False,False
0.87,True,0.277,0.455,0.047,False,False,False
0.895,True,0.274,0.448,0.047,False,False,False
0.933,True,0.277,0.451,0.046,False,False,False
0.965,True,0.273,0.452,0.046,False,False,False
0.995,True,0.267,0.452,0.045,False,False,False
1.03,True,0.267,0.452,0.045,False,False,False
1.066,True,0.27,0.45,0.045,False,False,False
1.089,True,0.276,0.451,0.044,False,False,False
1.126,True,0.266,0.452,0.044,False,False,False
1.167,True,0.264,0.453,0.043,False,False,False
1.198,True,0.259,0.456,0.043,False,False,False
1.238,True,0.269,0.451,0.043,False,False,False
1.264,True,0.269,0.451,0.042,False,False,False
1.305,True,0.272,0.45,0.042,False,False,False
1.328,True,0.265,0.451,0.042,False,False,False
1.361,True,0.266,0.453,0.041,False,False,False
1.394,True,0.269,0.45,0.041,False,False,False
1.426,True,0.269,0.445,0.041,False,False,False
1.456,True,0.28,0.45,0.04,False,False,False
1.49,True,0.286,0.447,0.04,False,False,False
1.526,True,0.271,0.449,0.04,False,False,False
1.567,True,0.272,0.449,0.039,False,False,False
1.599,True,0.271,0.451,0.039,False,False,False
1.638,True,0.269,0.451,0.039,False,False,False
1.664,True,0.268,0.45,0.038,False,False,False
1.702,True,0.267,0.45,0.038,False,False,False
1.731,True,0.269,0.45,0.038,False,False,False
1.764,True,0.267,0.451,0.038,False,False,False
1.797,True,0.265,0.449,0.037,False,False,False
1.828,True,0.271,0.45,0.037,False,False,False
1.855,True,0.276,0.451,0.037,False,False,False
1.89,True,0.28,0.455,0.036,False,False,False
1.926,True,0.276,0.454,0.036,False,False,False
1.967,True,0.281,0.451,0.036,False,False,False
2.001,True,0.276,0.452,0.036,False,False,False
