timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.039,True,0.242,0.009,0.0,False,False,False
0.116,True,0.255,0.003,0.0,False,False,False
0.135,True,0.247,0.003,0.0,False,False,False
0.16,True,0.249,0.004,0.0,False,False,False
0.18,True,0.248,0.004,0.0,False,False,False
0.197,True,0.246,0.004,0.0,False,False,False
0.227,True,0.247,0.003,0.0,False,False,False
0.259,True,0.249,0.003,0.0,False,False,False
0.289,True,0.248,0.003,0.0,False,False,False
0.339,True,0.249,0.003,0.0,False,False,False
0.367,True,0.252,0.003,0.0,False,False,False
0.401,True,0.255,0.003,0.0,False,False,False
0.433,True,0.263,0.003,0.0,False,False,False
0.468,True,0.26,0.003,0.0,False,False,False
0.499,True,0.265,0.003,0.0,False,False,False
0.527,True,0.259,0.003,0.0,False,False,False
0.562,True,0.266,0.003,0.0,False,False,False
0.597,True,0.268,0.003,0.0,False,False,False
0.627,True,0.268,0.003,0.0,False,False,False
0.657,True,0.263,0.003,0.0,False,False,False
0.692,True,0.264,0.003,0.0,False,False,False
0.739,True,0.269,0.003,0.0,False,False,False
0.772,True,0.276,0.005,0.0,False,False,False
0.803,True,0.286,0.004,0.0,False,False,False
0.838,True,0.273,0.003,0.0,False,False,False
0.865,True,0.286,0.004,0.0,False,False,False
0.899,True,0.277,0.004,0.0,False,False,False
0.932,True,0.288,0.003,0.0,False,False,False
0.963,True,0.291,0.004,0.0,False,False,False
0.993,True,0.276,0.003,0.0,False,False,False
1.029,True,0.289,0.011,0.0,False,False,False
1.06,True,0.275,0.011,0.0,False,False,False
1.092,True,0.272,0.005,0.0,False,False,False
1.14,True,0.276,0.005,0.0,False,False,False
1.169,True,0.268,0.002,0.0,False,False,False
1.201,True,0.268,0.003,0.0,False,False,False
1.233,True,0.27,0.004,0.0,False,False,False
1.267,True,0.267,0.005,0.0,False,False,False
1.297,True,0.276,0.004,0.0,False,False,False
1.329,True,0.267,0.005,0.0,False,False,False
1.361,True,0.27,0.004,0.0,False,False,False
1.395,True,0.263,0.006,0.0,False,False,False
1.427,True,0.263,0.004,0.0,False,False,False
1.458,True,0.255,0.004,0.0,False,False,False
1.492,True,0.254,0.136,0.0,False,False,False
1.538,True,0.269,0.304,0.0,False,False,False
1.571,True,0.252,0.375,0.0,False,False,False
1.603,True,0.244,0.427,0.0,False,False,False
